Date,Price,Open,High,Low,Vol.,Change %
2-Oct-19,5.56,5.33,5.76,5.05,13.85M,2.21
1-Oct-19,5.44,5.75,5.83,5.36,11.89M,-6.53
30-Sep-19,5.82,6.05,6.09,5.74,6.54M,-4.9
27-Sep-19,6.12,6.21,6.4,6.1,4.38M,-3.16
26-Sep-19,6.32,6.48,6.5,6.21,2.70M,-0.16
25-Sep-19,6.33,6.28,6.46,6,6.22M,0.64
24-Sep-19,6.29,6.7,6.72,6.26,5.76M,-6.4
23-Sep-19,6.72,6.55,6.97,6.54,5.29M,0.75
20-Sep-19,6.67,6.77,6.78,6.55,6.88M,-2.34
19-Sep-19,6.83,7,7.02,6.82,2.93M,-2.71
18-Sep-19,7.02,6.96,7.19,6.9,4.39M,0.43
17-Sep-19,6.99,7.15,7.35,6.81,8.09M,-3.72
16-Sep-19,7.26,7.65,7.73,7.23,9.18M,-7.75
13-Sep-19,7.87,7.81,7.96,7.67,5.20M,1.55
12-Sep-19,7.75,7.79,7.97,7.6,11.31M,-8.93
11-Sep-19,8.51,8.28,8.57,8.13,6.63M,3.15
10-Sep-19,8.25,7.92,8.27,7.77,4.19M,4.3
9-Sep-19,7.91,8.2,8.25,7.76,4.67M,-1.37
6-Sep-19,8.02,7.78,8.19,7.66,5.29M,3.48
5-Sep-19,7.75,7.41,7.76,7.35,4.19M,4.73
4-Sep-19,7.4,7.7,7.74,7.21,5.44M,-2.25
3-Sep-19,7.57,7.29,7.59,7.25,3.57M,3.13
30-Aug-19,7.34,7.42,7.45,7.29,2.82M,-0.54
29-Aug-19,7.38,7.52,7.54,7.34,3.04M,-0.81
28-Aug-19,7.44,7.32,7.5,7.17,3.75M,0.54
27-Aug-19,7.4,7.68,7.76,7.38,3.53M,-3.65
26-Aug-19,7.68,7.57,7.75,7.35,4.32M,2.13
23-Aug-19,7.52,7.6,7.81,7.5,3.20M,-2.46
22-Aug-19,7.71,7.76,7.89,7.68,2.32M,-1.28
21-Aug-19,7.81,7.91,7.95,7.75,3.27M,-0.76
20-Aug-19,7.87,7.81,8,7.71,3.83M,0.9
19-Aug-19,7.8,8.22,8.22,7.67,4.44M,-1.39
16-Aug-19,7.91,7.71,8.13,7.65,4.78M,3.67
15-Aug-19,7.63,7.9,8,7.52,9.36M,-5.8
14-Aug-19,8.1,8.61,8.65,8.07,5.93M,-8.16
13-Aug-19,8.82,8.6,8.91,8.55,2.89M,1.38
12-Aug-19,8.7,8.55,8.74,8.32,2.70M,1.05
9-Aug-19,8.61,8.76,8.82,8.44,2.75M,-2.49
8-Aug-19,8.83,9.01,9.06,8.75,2.95M,0.23
7-Aug-19,8.81,9.02,9.07,8.72,4.26M,-2.65
6-Aug-19,9.05,8.91,9.51,8.75,12.75M,7.87
2-Aug-19,8.39,8.22,8.42,7.94,6.97M,7.84
1-Aug-19,7.78,8.21,8.33,7.73,4.66M,-5.58
31-Jul-19,8.24,8.39,8.4,8.22,2.08M,0.37
30-Jul-19,8.21,7.98,8.48,7.9,4.83M,0.12
29-Jul-19,8.2,8.36,8.38,7.91,5.63M,-2.84
26-Jul-19,8.44,8.55,8.68,8.37,2.27M,-1.06
25-Jul-19,8.53,8.59,8.79,8.5,2.02M,-0.7
24-Jul-19,8.59,8.7,8.74,8.52,1.67M,-1.72
23-Jul-19,8.74,8.79,8.91,8.65,2.22M,-0.68
22-Jul-19,8.8,8.91,8.93,8.45,3.52M,-1.35
19-Jul-19,8.92,9.01,9.21,8.89,2.45M,-1.44
18-Jul-19,9.05,9.6,9.61,9.05,5.94M,-6.51
17-Jul-19,9.68,9.46,9.74,9.44,4.13M,3.31
16-Jul-19,9.37,9.19,9.42,9.04,2.99M,2.63
15-Jul-19,9.13,8.81,9.19,8.62,4.42M,3.63
12-Jul-19,8.81,9.34,9.35,8.8,6.38M,-5.98
11-Jul-19,9.37,9.61,9.78,9.37,2.95M,-2.8
10-Jul-19,9.64,9.64,9.69,9.57,2.00M,0.31
9-Jul-19,9.61,9.66,9.69,9.55,2.20M,-1.03
8-Jul-19,9.71,9.76,9.85,9.69,2.14M,-1.52
5-Jul-19,9.86,9.95,9.99,9.83,1.61M,-1.4
4-Jul-19,10,10,10.05,9.93,976.37K,0
3-Jul-19,10,9.91,10.08,9.75,2.87M,0.1
2-Jul-19,9.99,10.26,10.26,9.97,2.37M,-2.63
28-Jun-19,10.26,10.3,10.36,10.13,2.62M,0.2
27-Jun-19,10.24,10.05,10.27,9.97,4.19M,2.2
26-Jun-19,10.02,9.85,10.02,9.69,2.61M,1.83
25-Jun-19,9.84,9.89,10.08,9.77,3.47M,-1.01
24-Jun-19,9.94,9.67,9.94,9.49,4.23M,3.01
21-Jun-19,9.65,9.65,9.73,9.27,8.45M,-1.83
20-Jun-19,9.83,9.96,10.04,9.75,3.10M,-1.11
19-Jun-19,9.94,10.09,10.2,9.94,2.88M,-1.97
18-Jun-19,10.14,10.22,10.31,10.05,2.94M,-0.2
17-Jun-19,10.16,10.2,10.28,10.05,2.90M,0.3
14-Jun-19,10.13,10.05,10.32,9.85,3.96M,0.5
13-Jun-19,10.08,10.32,10.42,10,2.96M,-2.33
12-Jun-19,10.32,10.2,10.35,10.13,2.89M,0
11-Jun-19,10.32,10.6,10.65,10.21,4.44M,-1.9
10-Jun-19,10.52,10.4,10.61,10.27,4.80M,3.85
7-Jun-19,10.13,9.94,10.35,9.92,4.86M,0.6
6-Jun-19,10.07,10.3,10.31,9.96,4.93M,-2.89
5-Jun-19,10.37,10.85,10.9,10.15,7.39M,-1.8
4-Jun-19,10.56,9.81,10.57,9.8,8.25M,9.54
3-Jun-19,9.64,10.12,10.33,9.59,9.04M,-6.13
31-May-19,10.27,10.6,10.62,10.17,5.59M,-4.91
30-May-19,10.8,10.99,11.12,10.71,3.14M,-1.46
29-May-19,10.96,11.15,11.17,10.94,4.12M,-3.09
28-May-19,11.31,11.25,11.49,11.2,4.40M,0.53
27-May-19,11.25,11.18,11.31,11.16,1.37M,0.54
24-May-19,11.19,11.22,11.33,11.13,3.61M,0.81
23-May-19,11.1,11.47,11.48,11.06,5.77M,-3.9
22-May-19,11.55,11.62,11.75,11.5,5.32M,-0.6
21-May-19,11.62,11.6,11.79,11.5,5.39M,-0.77
17-May-19,11.71,11.82,12.19,11.65,8.87M,-2.01
16-May-19,11.95,11.75,11.97,11.45,9.52M,2.4
15-May-19,11.67,10.8,11.81,10.79,17.35M,3.09
14-May-19,11.32,11,11.43,10.93,6.55M,4.52
13-May-19,10.83,10.97,11.1,10.66,5.36M,-3.82
10-May-19,11.26,11.15,11.32,10.95,6.75M,0.09
9-May-19,11.25,11.63,11.64,11.23,5.53M,-2.85
8-May-19,11.58,11.54,11.78,11.52,4.56M,0
7-May-19,11.58,11.81,11.91,11.53,5.78M,-3.1
6-May-19,11.95,11.45,12,11,7.61M,1.27
3-May-19,11.8,11.85,11.92,11.68,3.18M,-0.08
2-May-19,11.81,12.09,12.1,11.53,6.87M,-2.48
1-May-19,12.11,12.2,12.24,12.07,3.93M,-0.49
30-Apr-19,12.17,12.14,12.62,12.12,11.44M,-0.08
